title,price,detail
LG전자 그램14 14ZD90P-GX50K,"1,346,880원","['화면크기 : 14인치(35~36cm)', '무게 : 0.999kg', '종류 : 코어i5 11세대', '운영체제 : 미포함(FreeDos)', 'CPU : 코어i5-1135G7', '칩셋 제조사 : 인텔', '코어종류 : 쿼드코어', '코드명 : 타이거레이크', 'CPU속도 : 2.4GHz', '터보부스트 : 4.2GHz', '램 : 8GB', '메모리 타입 : LPDDR4x', '인텔 GPU : Iris Xe Graphics', '그래픽 메모리 : 시스템 메모리 공유', '해상도 : 1920x1200(WUXGA)', '패널 : IPS패널(광시야각)', '화면비율 : 16대10', '베젤 : 슬림베젤', '특징 : 가벼운노트북', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 지원', '유선랜 : 유선랜있음', '영상출력 : HDMI', '썬더볼트4', '단자 : USB Type C', 'USB3.1', '카드 슬롯 : UFS', 'MicroSD카드', '부가기능 : 키보드라이트', '웹캠', 'USB-PD', 'Evo 플랫폼 인증', 'SSD : 256GB', 'SSD 인터페이스 : M.2', '배터리 타입 : 리튬이온', '배터리용량 : 72Wh', '웹카메라 : 전면', '사운드 : DTS: X Ultra', '품목 : 노트북', '두께 : 1.68cm', '조명 : LED백라이트', '색상 : 스노우화이트', 'DCI-P3 : 99%', '보안기능 : 지문인식']"
LG전자 그램14 14ZD90P-GX5BK,"1,372,540원","['화면크기 : 14인치(35~36cm)', '무게 : 0.999kg', '종류 : 코어i5 11세대', '운영체제 : 미포함(FreeDos)', 'CPU : 코어i5-1135G7', '칩셋 제조사 : 인텔', '코어종류 : 쿼드코어', '코드명 : 타이거레이크', 'CPU속도 : 2.4GHz', '터보부스트 : 4.2GHz', '램 : 8GB', '메모리 타입 : LPDDR4x', '인텔 GPU : Iris Xe Graphics', '그래픽 메모리 : 시스템 메모리 공유', '해상도 : 1920x1200(WUXGA)', '패널 : IPS패널(광시야각)', '화면비율 : 16대10', '베젤 : 슬림베젤', '특징 : 가벼운노트북', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 지원', '유선랜 : 유선랜있음', '영상출력 : HDMI', '썬더볼트4', '단자 : USB Type C', 'USB3.1', '카드 슬롯 : UFS', '부가기능 : 키보드라이트', '웹캠', 'USB-PD', 'Evo 플랫폼 인증', 'SSD : 256GB', 'SSD 인터페이스 : M.2', '배터리 타입 : 리튬이온', '배터리용량 : 72Wh', '웹카메라 : 전면', '품목 : 노트북', '두께 : 1.68cm', '조명 : LED백라이트', 'DCI-P3 : 99%', '보안기능 : 지문인식']"
삼성전자 갤럭시북 플렉스2 NT950QDA-X71AZ,"2,448,800원","['화면크기 : 15인치(37~39cm)', '무게 : 1.57kg', '종류 : 코어i7 11세대', '운영체제 : 윈도우10 홈', 'CPU : 코어i7-1165G7', '칩셋 제조사 : 인텔', '코어종류 : 쿼드코어', '코드명 : 타이거레이크', 'CPU속도 : 2.8GHz', '터보부스트 : 4.7GHz', '램 : 16GB', '메모리 타입 : LPDDR4x', 'NVIDIA GPU : 지포스 MX450', '그래픽 메모리 : 2GB', '해상도 : 1920x1080(FHD)', '패널 : 광시야각', '화면비율 : 16대9', '디스플레이 특징 : 터치스크린', '베젤 : 슬림베젤', '디스플레이 종류 : QLED', '화면펼침 : 360˚', '밝기 : 슈퍼브라이트(600nit)', '터치 : 터치화면', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 블루투스5.1', '영상출력 : HDMI', '썬더볼트4', '단자 : USB Type C', '카드 슬롯 : UFS', 'MicroSD카드', '부가기능 : 키보드라이트', '웹캠', '고속충전', 'S펜', '무선 배터리 공유', 'SSD : 512GB', 'SSD 인터페이스 : NVMe', '배터리용량 : 69.7Wh', '충전단자 : Type C', '웹카메라 : 전면', '품목 : 노트북', '두께 : 1.49cm', '색상 : 브론즈', '보안기능 : 지문인식']"
삼성전자 갤럭시북 이온2 NT950XDA-X71AW,"2,197,990원","['화면크기 : 15인치(37~39cm)', '무게 : 1.26kg', '종류 : 코어i7 11세대', '운영체제 : 윈도우10 홈', 'CPU : 코어i7-1165G7', '칩셋 제조사 : 인텔', '코어종류 : 쿼드코어', '코드명 : 타이거레이크', 'CPU속도 : 2.8GHz', '터보부스트 : 4.7GHz', '램 : 16GB', '메모리 타입 : DDR4', 'NVIDIA GPU : 지포스 MX450', '그래픽 메모리 : 2GB', '해상도 : 1920x1080(FHD)', '패널 : 광시야각', '화면비율 : 16대9', '베젤 : 슬림베젤', '디스플레이 종류 : QLED', '밝기 : 슈퍼브라이트(600nit)', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 블루투스5.1', '영상출력 : HDMI', '썬더볼트4', '단자 : USB3.0', '카드 슬롯 : UFS', 'MicroSD카드', '방향키 : ㅗ형', '부가기능 : 키보드라이트', '웹캠', '고속충전', 'SSD : 512GB', 'SSD 인터페이스 : NVMe', '배터리용량 : 69.7Wh', '충전단자 : Type C', '웹카메라 : 전면', '품목 : 노트북', '두께 : 1.49cm', '색상 : 화이트', '보안기능 : 지문인식']"
삼성전자 노트북 플러스2 NT550XDZ-AD1AW,"498,990원","['화면크기 : 15인치(37~39cm)', '무게 : 1.81kg', '종류 : 셀러론', '운영체제 : 미포함(FreeDos)', 'CPU : 셀러론-6305', '칩셋 제조사 : 인텔', '코어종류 : 듀얼코어', '코드명 : 타이거레이크', 'CPU속도 : 1.8GHz', '램 : 4GB', '메모리 타입 : DDR4', '인텔 GPU : 인텔UHD', '그래픽 메모리 : 시스템 메모리 공유', '해상도 : 1920x1080(FHD)', '패널 : 광시야각', '화면비율 : 16대9', '베젤 : 슬림베젤', '패널코팅 : 안티글레어', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 블루투스5.0', '유선랜 : 유선랜(1Gbps)', '영상출력 : HDMI', '단자 : USB Type C', 'USB3.0', 'USB2.0', '카드 슬롯 : MicroSD카드', '방향키 : ㅗ형', '부가기능 : 웹캠', '멀티 카드 리더기', 'SSD : 256GB', 'SSD 인터페이스 : NVMe', '배터리용량 : 43Wh', '충전단자 : DC', '웹카메라 : 전면', '품목 : 노트북', '두께 : 1.88cm', '조명 : LED백라이트', '색상 : 화이트', '입력장치 : 숫자키패드']"
LG전자 그램14 14ZD90P-GX50K,"1,346,880원","['화면크기 : 14인치(35~36cm)', '무게 : 0.999kg', '종류 : 코어i5 11세대', '운영체제 : 미포함(FreeDos)', 'CPU : 코어i5-1135G7', '칩셋 제조사 : 인텔', '코어종류 : 쿼드코어', '코드명 : 타이거레이크', 'CPU속도 : 2.4GHz', '터보부스트 : 4.2GHz', '램 : 8GB', '메모리 타입 : LPDDR4x', '인텔 GPU : Iris Xe Graphics', '그래픽 메모리 : 시스템 메모리 공유', '해상도 : 1920x1200(WUXGA)', '패널 : IPS패널(광시야각)', '화면비율 : 16대10', '베젤 : 슬림베젤', '특징 : 가벼운노트북', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 지원', '유선랜 : 유선랜있음', '영상출력 : HDMI', '썬더볼트4', '단자 : USB Type C', 'USB3.1', '카드 슬롯 : UFS', 'MicroSD카드', '부가기능 : 키보드라이트', '웹캠', 'USB-PD', 'Evo 플랫폼 인증', 'SSD : 256GB', 'SSD 인터페이스 : M.2', '배터리 타입 : 리튬이온', '배터리용량 : 72Wh', '웹카메라 : 전면', '사운드 : DTS: X Ultra', '품목 : 노트북', '두께 : 1.68cm', '조명 : LED백라이트', '색상 : 스노우화이트', 'DCI-P3 : 99%', '보안기능 : 지문인식']"
LG전자 그램14 14ZD90P-GX5BK,"1,372,540원","['화면크기 : 14인치(35~36cm)', '무게 : 0.999kg', '종류 : 코어i5 11세대', '운영체제 : 미포함(FreeDos)', 'CPU : 코어i5-1135G7', '칩셋 제조사 : 인텔', '코어종류 : 쿼드코어', '코드명 : 타이거레이크', 'CPU속도 : 2.4GHz', '터보부스트 : 4.2GHz', '램 : 8GB', '메모리 타입 : LPDDR4x', '인텔 GPU : Iris Xe Graphics', '그래픽 메모리 : 시스템 메모리 공유', '해상도 : 1920x1200(WUXGA)', '패널 : IPS패널(광시야각)', '화면비율 : 16대10', '베젤 : 슬림베젤', '특징 : 가벼운노트북', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 지원', '유선랜 : 유선랜있음', '영상출력 : HDMI', '썬더볼트4', '단자 : USB Type C', 'USB3.1', '카드 슬롯 : UFS', '부가기능 : 키보드라이트', '웹캠', 'USB-PD', 'Evo 플랫폼 인증', 'SSD : 256GB', 'SSD 인터페이스 : M.2', '배터리 타입 : 리튬이온', '배터리용량 : 72Wh', '웹카메라 : 전면', '품목 : 노트북', '두께 : 1.68cm', '조명 : LED백라이트', 'DCI-P3 : 99%', '보안기능 : 지문인식']"
삼성전자 갤럭시북 플렉스2 NT950QDA-X71AZ,"2,448,800원","['화면크기 : 15인치(37~39cm)', '무게 : 1.57kg', '종류 : 코어i7 11세대', '운영체제 : 윈도우10 홈', 'CPU : 코어i7-1165G7', '칩셋 제조사 : 인텔', '코어종류 : 쿼드코어', '코드명 : 타이거레이크', 'CPU속도 : 2.8GHz', '터보부스트 : 4.7GHz', '램 : 16GB', '메모리 타입 : LPDDR4x', 'NVIDIA GPU : 지포스 MX450', '그래픽 메모리 : 2GB', '해상도 : 1920x1080(FHD)', '패널 : 광시야각', '화면비율 : 16대9', '디스플레이 특징 : 터치스크린', '베젤 : 슬림베젤', '디스플레이 종류 : QLED', '화면펼침 : 360˚', '밝기 : 슈퍼브라이트(600nit)', '터치 : 터치화면', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 블루투스5.1', '영상출력 : HDMI', '썬더볼트4', '단자 : USB Type C', '카드 슬롯 : UFS', 'MicroSD카드', '부가기능 : 키보드라이트', '웹캠', '고속충전', 'S펜', '무선 배터리 공유', 'SSD : 512GB', 'SSD 인터페이스 : NVMe', '배터리용량 : 69.7Wh', '충전단자 : Type C', '웹카메라 : 전면', '품목 : 노트북', '두께 : 1.49cm', '색상 : 브론즈', '보안기능 : 지문인식']"
삼성전자 갤럭시북 이온2 NT950XDA-X71AW,"2,197,990원","['화면크기 : 15인치(37~39cm)', '무게 : 1.26kg', '종류 : 코어i7 11세대', '운영체제 : 윈도우10 홈', 'CPU : 코어i7-1165G7', '칩셋 제조사 : 인텔', '코어종류 : 쿼드코어', '코드명 : 타이거레이크', 'CPU속도 : 2.8GHz', '터보부스트 : 4.7GHz', '램 : 16GB', '메모리 타입 : DDR4', 'NVIDIA GPU : 지포스 MX450', '그래픽 메모리 : 2GB', '해상도 : 1920x1080(FHD)', '패널 : 광시야각', '화면비율 : 16대9', '베젤 : 슬림베젤', '디스플레이 종류 : QLED', '밝기 : 슈퍼브라이트(600nit)', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 블루투스5.1', '영상출력 : HDMI', '썬더볼트4', '단자 : USB3.0', '카드 슬롯 : UFS', 'MicroSD카드', '방향키 : ㅗ형', '부가기능 : 키보드라이트', '웹캠', '고속충전', 'SSD : 512GB', 'SSD 인터페이스 : NVMe', '배터리용량 : 69.7Wh', '충전단자 : Type C', '웹카메라 : 전면', '품목 : 노트북', '두께 : 1.49cm', '색상 : 화이트', '보안기능 : 지문인식']"
삼성전자 노트북 플러스2 NT550XDZ-AD1AW,"498,990원","['화면크기 : 15인치(37~39cm)', '무게 : 1.81kg', '종류 : 셀러론', '운영체제 : 미포함(FreeDos)', 'CPU : 셀러론-6305', '칩셋 제조사 : 인텔', '코어종류 : 듀얼코어', '코드명 : 타이거레이크', 'CPU속도 : 1.8GHz', '램 : 4GB', '메모리 타입 : DDR4', '인텔 GPU : 인텔UHD', '그래픽 메모리 : 시스템 메모리 공유', '해상도 : 1920x1080(FHD)', '패널 : 광시야각', '화면비율 : 16대9', '베젤 : 슬림베젤', '패널코팅 : 안티글레어', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 블루투스5.0', '유선랜 : 유선랜(1Gbps)', '영상출력 : HDMI', '단자 : USB Type C', 'USB3.0', 'USB2.0', '카드 슬롯 : MicroSD카드', '방향키 : ㅗ형', '부가기능 : 웹캠', '멀티 카드 리더기', 'SSD : 256GB', 'SSD 인터페이스 : NVMe', '배터리용량 : 43Wh', '충전단자 : DC', '웹카메라 : 전면', '품목 : 노트북', '두께 : 1.88cm', '조명 : LED백라이트', '색상 : 화이트', '입력장치 : 숫자키패드']"
디클 클릭북 프로 K50-G10 프리도스,"649,000원","['화면크기 : 15인치(37~39cm)', '무게 : 2.3kg', '종류 : 펜티엄 골드', '운영체제 : 미포함(FreeDos)', 'CPU : 펜티엄-G6400', '칩셋 제조사 : 인텔', '코어종류 : 듀얼코어', '코드명 : 코멧레이크', 'CPU속도 : 4.0GHz', '램 : 8GB', '메모리 타입 : DDR4', 'NVIDIA GPU : 지포스 MX350', '인텔 GPU : UHD610', '그래픽 메모리 : 2GB', '해상도 : 1920x1080(FHD)', '패널 : IPS패널(광시야각)', '베젤 : 슬림베젤', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 블루투스5.1', '유선랜 : 유선랜있음', '영상출력 : HDMI', '단자 : USB Type C', 'USB3.0', 'USB2.0', '카드 슬롯 : SD카드', '부가기능 : 웹캠', '키보드라이트(RGB)', 'SSD : 256GB', 'SSD 인터페이스 : M.2', '배터리 타입 : 리튬이온', '배터리용량 : 41Wh', '배터리cell수 : 4cell', '웹카메라 : 전면(100만)', '품목 : 노트북', '두께 : 2.98cm']"
주연테크 슈퍼플라이 블랙 J9FT,"898,990원","['화면크기 : 14인치(35~36cm)', '무게 : 1.12kg', '종류 : 코어i5 11세대', '운영체제 : 미포함(FreeDos)', 'CPU : 코어i5-1135G7', '칩셋 제조사 : 인텔', '코어종류 : 쿼드코어', '코드명 : 타이거레이크', '터보부스트 : 4.2GHz', '램 : 16GB', '메모리 타입 : DDR4', '인텔 GPU : Iris Xe Graphics', '그래픽 메모리 : 시스템 메모리 공유', '해상도 : 1920x1080(FHD)', '베젤 : 슬림베젤', 'NTSC : 72%', '화면펼침 : 180˚', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 블루투스5.0', '영상출력 : HDMI', '다중모니터연결(2개)', '썬더볼트4', '단자 : USB Type C', 'USB3.0', 'USB3.1', '카드 슬롯 : MicroSD카드', '부가기능 : 웹캠', '고속충전', '안면인식', '키보드라이트(LED)', 'MIL-STD', 'USB-PD', 'SSD : 512GB', 'SSD 인터페이스 : M.2', '배터리용량 : 73Wh', '충전단자 : DC', '웹카메라 : 전면(100만)', '무상AS : 1년', '품목 : 노트북', '두께 : 1.65cm', '색상 : 블랙', '입력장치 : 숫자키패드']"
주연테크 슈퍼플라이 J9ST,"999,000원","['화면크기 : 14인치(35~36cm)', '무게 : 1.12kg', '종류 : 코어i7 11세대', '운영체제 : 미포함(FreeDos)', 'CPU : 코어i7-1165G7', '칩셋 제조사 : 인텔', '코어종류 : 쿼드코어', '코드명 : 타이거레이크', '터보부스트 : 4.7GHz', '램 : 16GB', '메모리 타입 : DDR4', '인텔 GPU : Iris Xe Graphics', '그래픽 메모리 : 시스템 메모리 공유', '해상도 : 1920x1080(FHD)', '베젤 : 슬림베젤', 'NTSC : 72%', '화면펼침 : 180˚', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 블루투스5.0', '영상출력 : HDMI', '다중모니터연결(2개)', '썬더볼트4', '단자 : USB Type C', 'USB3.0', 'USB3.1', '카드 슬롯 : MicroSD카드', '부가기능 : 웹캠', '고속충전', '안면인식', '키보드라이트(LED)', 'MIL-STD', 'USB-PD', 'SSD : 512GB', 'SSD 인터페이스 : M.2', '배터리용량 : 73Wh', '충전단자 : DC', '웹카메라 : 전면(100만)', '무상AS : 1년', '품목 : 노트북', '두께 : 1.65cm', '입력장치 : 숫자키패드']"
레노버 아이디어패드 SLIM 5-15ARE RYZEN5,"749,000원","['화면크기 : 15인치(37~39cm)', '무게 : 1.63kg', '종류 : 라이젠5-1세대', '운영체제 : 미포함(FreeDos)', 'CPU : 라이젠5-4500U', '칩셋 제조사 : AMD', '코어종류 : 헥사코어', '코드명 : 르누아르', 'CPU속도 : 2.3GHz', '터보부스트 : 4.0GHz', '램 : 8GB', '메모리 타입 : DDR4', 'AMD GPU : 라데온 Graphics', '그래픽 메모리 : 시스템 메모리 공유', '해상도 : 1920x1080(FHD)', '패널 : IPS패널(광시야각)', '화면비율 : 16대9', '밝기 : 슈퍼브라이트(300nit)', '패널코팅 : 안티글레어', '무선랜 : 무선랜 802.11 ac(Wi-Fi5)', '블루투스 : 블루투스5.1', '영상출력 : HDMI', 'DisplayPort', '단자 : USB Type C', 'USB3.0', '부가기능 : 키보드라이트', '웹캠', 'SSD : 256GB', 'SSD 인터페이스 : NVMe', '배터리용량 : 57Wh', '배터리cell수 : 3cell', '사용시간 : 최대12시간', '웹카메라 : 전면', '무상AS : 1년', '품목 : 노트북', '두께 : 1.99cm', '보안기능 : 지문인식']"
삼성전자 갤럭시북 플렉스 NT950QCG-X716A,"2,179,960원","['화면크기 : 15인치(37~39cm)', '무게 : 1.52kg', '종류 : 코어i7 10세대', '운영체제 : 윈도우10 홈', 'CPU : 코어i7-1065G7', '칩셋 제조사 : 인텔', '코어종류 : 쿼드코어', '코드명 : 아이스레이크', 'CPU속도 : 1.3GHz', '터보부스트 : 3.9GHz', '램 : 16GB', '메모리 타입 : LPDDR4x', 'NVIDIA GPU : 지포스MX250', '인텔 GPU : Iris Plus', '그래픽 메모리 : 2GB', '해상도 : 1920x1080(FHD)', '화면비율 : 16대9', '베젤 : 슬림베젤', '디스플레이 종류 : QLED', '화면펼침 : 360˚', '밝기 : 슈퍼브라이트(600nit)', '터치 : 터치화면', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 블루투스5.0', '영상출력 : 썬더볼트3', '단자 : USB Type C', 'USB3.1', '부가기능 : 키보드라이트', 'S펜', 'SSD : 512GB', 'SSD 인터페이스 : NVMe', '배터리용량 : 69Wh', '웹카메라 : 전면', '품목 : 노트북', '두께 : 1.49cm', '색상 : 블루', '입력장치 : 숫자키패드', '보안기능 : 지문인식']"
HP ENVY X360 15-ED0021TX,"1,687,300원","['화면크기 : 15인치(37~39cm)', '무게 : 1.92kg', '종류 : 코어i7 10세대', '운영체제 : 윈도우10 홈', 'CPU : 코어i7-10510U', '칩셋 제조사 : 인텔', '코어종류 : 쿼드코어', '램 : 16GB', '메모리 타입 : DDR4', 'NVIDIA GPU : 지포스 MX330', '그래픽 메모리 : 4GB', '해상도 : 1920x1080(FHD)', '패널 : IPS패널(광시야각)', '화면비율 : 16대9', '화면펼침 : 360˚', '밝기 : 슈퍼브라이트(400nit)', 'bit유형 : 64', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 블루투스5.0', '영상출력 : DisplayPort', 'HDMI(2.0)', '단자 : USB Type C', 'USB3.0', 'USB2.0', 'USB', '부가기능 : 키보드라이트', '웹캠', '안면인식', 'SSD : 512GB', 'SSD 인터페이스 : NVMe', '배터리 타입 : 리튬이온', '배터리용량 : 51Wh', '배터리cell수 : 3cell', '사용시간 : 최대14시간', '스피커 : 뱅앤올룹슨스피커', '품목 : 노트북', '두께 : 1.87cm', '보안기능 : 지문인식']"
HP X360 13-AW2105TU,"2,249,000원","['화면크기 : 13인치(32~35cm)', '무게 : 1.3kg', '종류 : 코어i7 11세대', '운영체제 : 윈도우10 홈', 'CPU : 코어i7-1165G7', '칩셋 제조사 : 인텔', '코어종류 : 쿼드코어', '코드명 : 타이거레이크', '터보부스트 : 4.7GHz', '램 : 16GB', '메모리 타입 : LPDDR4', '인텔 GPU : Iris Xe Graphics', '그래픽 메모리 : 시스템 메모리 공유', '해상도 : 3840x2160(UHD)', '패널 : AMOLED패널', '디스플레이 특징 : 터치스크린', '베젤 : 슬림베젤', '화면펼침 : 360˚', '밝기 : 슈퍼브라이트(400nit)', '터치 : 멀티터치화면', 'bit유형 : 64', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 블루투스5.0', '영상출력 : 썬더볼트3', '단자 : USB Type C', 'USB3.0', 'USB3.1', '카드 슬롯 : MicroSD카드', '부가기능 : 키보드라이트', '웹캠', '고속충전', '안면인식', '터치펜', 'SSD : 1TB', 'SSD 인터페이스 : NVMe', '배터리 타입 : 리튬이온', '배터리용량 : 60Wh', '배터리cell수 : 4cell', '웹카메라 : 전면', '스피커 : 뱅앤올룹슨스피커', '사운드 : 돌비Atoms오디오', '품목 : 노트북', '두께 : 1.69cm', '보안기능 : 지문인식']"
포유디지탈 아이뮤즈 스톰북15 프로,"444,980원","['화면크기 : 15인치(37~39cm)', '무게 : 1.6kg', '종류 : 코어M', '운영체제 : 미포함(FreeDos)', 'CPU : 코어M3-6Y30', '칩셋 제조사 : 인텔', '코어종류 : 듀얼코어', 'CPU속도 : 1.2GHz', '터보부스트 : 2.2GHz', '램 : 8GB', '메모리 타입 : LPDDR3', '해상도 : 1920x1080(FHD)', '화면비율 : 16대9', '블루투스 : 블루투스 4.2', '유선랜 : 유선랜없음', '영상출력 : HDMI(2.0)', '단자 : USB Type C', 'USB3.0', '품목 : 노트북', '보안기능 : 지문인식']"
Apple 맥북 프로 13형 2020년형 512G 스페이스 그레이 (MWP42KH/A),"2,115,900원","['화면크기 : 13인치(32~35cm)', '무게 : 1.4kg', '종류 : 코어i5 10세대', '운영체제 : MAC OS', '칩셋 제조사 : 인텔', '코어종류 : 쿼드코어', '코드명 : 아이스레이크', 'CPU속도 : 2.0GHz', '터보부스트 : 3.9GHz', '램 : 16GB', '메모리 타입 : LPDDR4x', '인텔 GPU : Iris Plus', '해상도 : 2560x1600(WQXGA)', '패널 : IPS패널(광시야각)', '화면비율 : 16대10', '디스플레이 종류 : LCD', '밝기 : 슈퍼브라이트(500nit)', 'bit유형 : 64', '무선랜 : 무선랜 802.11 ac(Wi-Fi5)', '블루투스 : 블루투스5.0', '영상출력 : 썬더볼트3(4개)', 'DisplayPort', '단자 : USB3.1', '부가기능 : 키보드라이트', '웹캠', '아이메시지', '애플앱스토어', '에어드롭', 'SSD : 512GB', 'HDD 용량 : 미포함', 'ODD : 광Drive없음', '배터리 타입 : 리튬폴리머', '배터리용량 : 58Wh', '사용시간 : 최대10시간', '무상AS : 1년', '품목 : 노트북', '두께 : 1.56cm', '조명 : LED백라이트', '색상 : 스페이스그레이', '입력장치 : 터치bar', '보안기능 : 지문인식']"
삼성전자 오디세이 NT850XCR-HD7A,"2,097,990원","['화면크기 : 15인치(37~39cm)', '무게 : 2.39kg', '종류 : 코어i7 10세대', '운영체제 : 리눅스', 'CPU : 코어i7-10750H', '칩셋 제조사 : 인텔', '코어종류 : 헥사코어', '코드명 : 코멧레이크', 'CPU속도 : 2.6GHz', '터보부스트 : 5.0GHz', '램 : 8GB', '메모리 타입 : DDR4', 'NVIDIA GPU : 지포스 RTX2060', '그래픽 메모리 : 6GB', '해상도 : 1920x1080(FHD)', '패널코팅 : 안티글레어', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 블루투스5.0', '영상출력 : HDMI', '단자 : USB Type C', 'USB3.0', '부가기능 : 키보드라이트', '웹캠', 'SSD : 256GB', 'SSD 인터페이스 : NVMe', '배터리용량 : 54Wh', '품목 : 노트북', '두께 : 1.99cm']"
HP 파빌리온 15-eg0501TU,"1,159,000원","['화면크기 : 15인치(37~39cm)', '무게 : 1.85kg', '종류 : 코어i7 11세대', '운영체제 : 윈도우10', 'CPU : 코어i7-1165G7', '칩셋 제조사 : 인텔', '코어종류 : 쿼드코어', '코드명 : 타이거레이크', '터보부스트 : 4.7GHz', '램 : 16GB', '메모리 타입 : DDR4', '인텔 GPU : Iris Xe Graphics', '그래픽 메모리 : 시스템 메모리 공유', '해상도 : 1920x1080(FHD)', '패널 : IPS패널(광시야각)', '베젤 : 슬림베젤', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 블루투스5.0', '영상출력 : HDMI', '단자 : USB Type C', 'USB3.0', '카드 슬롯 : SD카드', '부가기능 : 키보드라이트', '웹캠', '고속충전', 'SSD : 512GB', 'SSD 인터페이스 : M.2', '배터리용량 : 41Wh', '배터리cell수 : 3cell', '웹카메라 : 전면', '스피커 : 뱅앤올룹슨스피커', '품목 : 노트북', '두께 : 1.79cm', '조명 : LED백라이트', '보안기능 : 지문인식']"
한성컴퓨터 BossMonster EX7079S,"2,999,000원","['화면크기 : 17인치(43~44cm)', '무게 : 4.6kg', '종류 : 코어i9 10세대', '운영체제 : 미포함(FreeDos)', 'CPU : 코어i9-10900K', '칩셋 제조사 : 인텔', 'CPU속도 : 3.7GHz', '터보부스트 : 5.3GHz', '램 : 32GB', '메모리 타입 : DDR4', 'NVIDIA GPU : 지포스 RTX2070 SUPER', '그래픽 메모리 : 8GB', '해상도 : 1920x1080(FHD)', '패널 : IPS패널(광시야각)', '주사율 : 144Hz', '화면비율 : 16대9', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 블루투스5.1', '영상출력 : 썬더볼트3', 'miniDisplayPort', 'HDMI(2.0)', '단자 : USB Type C', 'USB3.0', '부가기능 : 웹캠', '키보드라이트(RGB)', 'SSD : 1TB', 'SSD 인터페이스 : M.2', '배터리용량 : 97Wh', '웹카메라 : 전면', '품목 : 노트북', '두께 : 4.5cm', '보안기능 : 지문인식']"
HP 14s-fq0068au,"819,000원","['화면크기 : 14인치(35~36cm)', '무게 : 1.468', '종류 : 라이젠7-3세대', '운영체제 : 윈도우10', 'CPU : 라이젠7-4700U', '칩셋 제조사 : AMD', '코어종류 : 옥타코어', '터보부스트 : 4.1GHz', '램 : 8GB', '메모리 타입 : DDR4', 'AMD GPU : 라데온 Graphics', '그래픽 메모리 : 시스템 메모리 공유', '해상도 : 1920x1080(FHD)', '패널 : IPS패널(광시야각)', '베젤 : 슬림베젤', '무선랜 : 무선랜 802.11 ac(Wi-Fi5)', '블루투스 : 블루투스5.0', '영상출력 : HDMI', '단자 : USB Type C', 'USB3.1', '카드 슬롯 : SD카드', '부가기능 : 웹캠', '고속충전', 'SSD : 512GB', 'SSD 인터페이스 : PCle', '웹카메라 : 전면', '무상AS : 1년', '품목 : 노트북', '두께 : 1.799']"
